id_pokémon,Pokémon,Type,Talent,Tier,PV,Attaque,Défense,Atq Spé,Déf Spé,Vitesse
42,Pikachu Casquette de Hoenn,Type Électrik,Statik Paratonnerre,Untiered,35,55,40,50,50,90
43,Pikachu Casquette d'Alola,Type Électrik,Statik Paratonnerre,Untiered,35,55,40,50,50,90
44,Pikachu Casquette Partenaire,Type Électrik,Statik Paratonnerre,Untiered,35,55,40,50,50,90
45,Pikachu Casquette Monde,Type Électrik,Statik Paratonnerre,Untiered,35,55,40,50,50,90
46,Pikachu Casquette de Kalos,Type Électrik,Statik Paratonnerre,Untiered,35,55,40,50,50,90
47,Pikachu Casquette d'Unys,Type Électrik,Statik Paratonnerre,Untiered,35,55,40,50,50,90
48,Pikachu Rockeur,Type Électrik,Paratonnerre,Untiered,35,55,40,50,50,90
49,Pikachu Lady,Type Électrik,Paratonnerre,Untiered,35,55,40,50,50,90
50,Pikachu Libre,Type Électrik,Paratonnerre,Untiered,35,55,40,50,50,90
51,Pikachu Star,Type Électrik,Paratonnerre,Untiered,35,55,40,50,50,90
52,Pikachu Docteur,Type Électrik,Paratonnerre,Untiered,35,55,40,50,50,90
53,Raichu,Type Électrik,Statik Paratonnerre,OU,60,90,55,90,80,110
54,Raichu d'Alola,Type Électrik Type Psy,Surf Caudal,Untiered,60,85,50,95,85,110
55,Sabelette,Type Sol,Voile Sable Baigne Sable,Untiered,50,75,85,20,30,40
56,Sabelette d'Alola,Type Glace Type Acier,Rideau Neige Chasse-Neige,Untiered,50,75,90,10,35,40
57,Sablaireau,Type Sol,Voile Sable Baigne Sable,Untiered,75,100,110,45,55,65
58,Sablaireau d'Alola,Type Glace Type Acier,Rideau Neige Chasse-Neige,Untiered,75,100,120,25,65,65
59,Nidoran Femelle,Type Poison,Point Poison Rivalité Agitation,Untiered,55,47,52,40,40,41
60,Nidorina,Type Poison,Point Poison Rivalité Agitation,Untiered,70,62,67,55,55,56
61,Nidoqueen,Type Poison Type Sol,Point Poison Rivalité Sans Limite,Untiered,90,92,87,75,85,76
62,Nidoran Mâle,Type Poison,Point Poison Rivalité Agitation,Untiered,46,57,40,40,40,50
63,Nidorino,Type Poison,Point Poison Rivalité Agitation,Untiered,61,72,57,55,55,65
64,Nidoking,Type Poison Type Sol,Point Poison Rivalité Sans Limite,Untiered,81,102,77,85,75,85
65,Mélofée,Type Fée,Joli Sourire Garde Magik Garde Amie,Untiered,70,45,48,60,65,35
66,Mélodelfe,Type Fée,Joli Sourire Garde Magik Inconscient,Untiered,95,70,73,95,90,60
67,Goupix,Type Feu,Torche Sécheresse,Untiered,38,41,40,50,65,65
68,Goupix d'Alola,Type Glace,Rideau Neige Alerte Neige,Untiered,38,41,40,50,65,65
69,Feunard,Type Feu,Torche Sécheresse,Untiered,73,76,75,81,100,100
70,Feunard d'Alola,Type Glace Type Fée,Rideau Neige Alerte Neige,Untiered,73,67,75,81,100,109
71,Rondoudou,Type Normal Type Fée,Joli Sourire Battant Garde Amie,NFE,115,45,20,45,25,20
72,Grodoudou,Type Normal Type Fée,Joli Sourire Battant Fouille,OU,140,70,45,85,50,45
73,Nosferapti,Type Poison Type Vol,Attention Infiltration,Untiered,40,45,35,30,40,55
74,Nosferalto,Type Poison Type Vol,Attention Infiltration,Untiered,75,80,70,65,75,90
75,Mystherbe,Type Plante Type Poison,Chlorophylle Fuite,Untiered,45,50,55,75,65,30
76,Ortide,Type Plante Type Poison,Chlorophylle Puanteur,Untiered,60,65,70,85,75,40
77,Rafflesia,Type Plante Type Poison,Chlorophylle Pose Spore,Untiered,75,80,85,110,90,50
78,Paras,Type Insecte Type Plante,Pose Spore Peau Sèche Moiteur,Untiered,35,70,55,45,55,25
79,Parasect,Type Insecte Type Plante,Pose Spore Peau Sèche Moiteur,Untiered,60,95,80,60,80,30
80,Mimitoss,Type Insecte Type Poison,Oeil Composé Lentiteintée Fuite,LC,60,55,50,40,55,45
81,Aéromite,Type Insecte Type Poison,Écran Poudre Lentiteintée Peau Miracle,OU,70,65,60,90,75,90
82,Taupiqueur,Type Sol,Voile Sable Piège Sable Force Sable,LC,10,55,25,35,45,95
83,Taupiqueur d'Alola,Type Sol Type Acier,Voile Sable Mèche Rebelle Force Sable,Untiered,10,55,30,35,45,90
84,Triopikeur,Type Sol,Voile Sable Piège Sable Force Sable,OU,35,100,50,50,70,120
85,Triopikeur d'Alola,Type Sol Type Acier,Voile Sable Mèche Rebelle Force Sable,Untiered,35,100,60,50,70,110
86,Miaouss,Type Normal,Ramassage Technicien Tension,LC,40,45,35,40,40,90
87,Miaouss d'Alola,Type Ténèbres,Ramassage Technicien Phobique,Untiered,40,35,35,50,40,90
88,Miaouss de Galar,Type Acier,Ramassage Griffe Dure Tension,LC,50,65,55,40,40,40
89,Miaouss Gigamax,Type Normal,Ramassage Technicien Tension,Untiered,40,45,35,40,40,90
90,Persian,Type Normal,Échauffement Technicien Tension,OU,65,70,60,65,65,115
91,Persian d'Alola,Type Ténèbres,Toison Épaisse Technicien Phobique,Untiered,65,60,60,75,65,115
92,Psykokwak,Type Eau,Moiteur Ciel Gris Glissade,LC,50,52,48,65,50,55
93,Akwakwak,Type Eau,Moiteur Ciel Gris Glissade,OU,80,82,78,95,80,85
94,Férosinge,Type Combat,Esprit Vital Colérique Acharné,LC,40,80,35,35,45,70
95,Colossinge,Type Combat,Esprit Vital Colérique Acharné,NFE,65,105,60,60,70,95
96,Caninos,Type Feu,Intimidation Torche Coeur Noble,LC,55,70,45,70,50,60
97,Caninos de Hisui,Type Feu Type Roche,Intimidation Torche Tête de Roc,Untiered,60,75,45,65,50,55
98,Arcanin,Type Feu,Intimidation Torche Coeur Noble,OU,90,110,80,100,80,95
99,Arcanin de Hisui,Type Feu Type Roche,Intimidation Torche Tête de Roc,Untiered,95,115,80,95,80,90
100,Ptitard,Type Eau,Absorb Eau Moiteur Glissade,Untiered,40,50,40,40,40,90
101,Têtarte,Type Eau,Absorb Eau Moiteur Glissade,Untiered,65,65,65,50,50,90
102,Tartard,Type Eau Type Combat,Absorb Eau Moiteur Glissade,Untiered,90,95,95,70,90,70
103,Abra,Type Psy,Synchro Attention Garde Magik,Untiered,25,20,15,105,55,90
104,Kadabra,Type Psy,Synchro Attention Garde Magik,Untiered,40,35,30,120,70,105
105,Alakazam,Type Psy,Synchro Attention Garde Magik,Untiered,55,50,45,135,95,120
106,Méga Alakazam,Type Psy,Calque,Untiered,55,50,65,175,105,150
107,Machoc,Type Combat,Cran Annule Garde Impassible,Untiered,70,80,50,35,35,35
108,Machopeur,Type Combat,Cran Annule Garde Impassible,Untiered,80,100,70,50,60,45
109,Mackogneur,Type Combat,Cran Annule Garde Impassible,Untiered,90,130,80,65,85,55
110,Mackogneur Gigamax,Type Combat,Cran Annule Garde Impassible,Untiered,90,130,80,65,85,55
111,Chétiflor,Type Plante Type Poison,Chlorophylle Gloutonnerie,Untiered,50,75,35,70,30,40
112,Boustiflor,Type Plante Type Poison,Chlorophylle Gloutonnerie,Untiered,65,90,50,85,45,55
113,Empiflor,Type Plante Type Poison,Chlorophylle Gloutonnerie,Untiered,80,105,65,100,70,70
114,Tentacool,Type Eau Type Poison,Corps Sain Suintement Cuvette,Untiered,40,40,35,50,100,70
115,Tentacruel,Type Eau Type Poison,Corps Sain Suintement Cuvette,Untiered,80,70,65,80,120,100
116,Racaillou,Type Roche Type Sol,Tête de Roc Fermeté Voile Sable,Untiered,40,80,100,30,30,20
117,Racaillou d'Alola,Type Roche Type Électrik,Magnépiège Fermeté Peau Électrique,Untiered,40,80,100,30,30,20
118,Gravalanch,Type Roche Type Sol,Tête de Roc Fermeté Voile Sable,Untiered,55,95,115,45,45,35
119,Gravalanch d'Alola,Type Roche Type Électrik,Magnépiège Fermeté Peau Électrique,Untiered,55,95,115,45,45,35
120,Grolem,Type Roche Type Sol,Tête de Roc Fermeté Voile Sable,Untiered,80,120,130,55,65,45
121,Grolem d'Alola,Type Roche Type Électrik,Magnépiège Fermeté Peau Électrique,Untiered,80,120,130,55,65,45
122,Ponyta,Type Feu,Fuite Torche Corps Ardent,Untiered,50,85,55,65,65,90
123,Ponyta de Galar,Type Psy,Fuite Voile Pastel Anticipation,Untiered,50,85,55,65,65,90
124,Galopa,Type Feu,Fuite Torche Corps Ardent,Untiered,65,100,70,80,80,105
125,Galopa de Galar,Type Psy Type Fée,Fuite Voile Pastel Anticipation,Untiered,65,100,70,80,80,105
126,Ramoloss,Type Eau Type Psy,Benêt Tempo Perso Régé-Force,LC,90,65,65,40,40,15
127,Ramoloss de Galar,Type Psy,Gloutonnerie Tempo Perso Régé-Force,Untiered,90,65,65,40,40,15
128,Flagadoss,Type Eau Type Psy,Benêt Tempo Perso Régé-Force,OU,95,75,110,100,80,30
129,Flagadoss de Galar,Type Poison Type Psy,Tir Vif Tempo Perso Régé-Force,Untiered,95,100,95,100,70,30
130,Méga Flagadoss,Type Eau Type Psy,Coque Armure,Untiered,95,75,180,130,80,30
131,Magnéti,Type Électrik Type Acier,Magnépiège Fermeté Analyste,LC,25,35,70,95,55,45
132,Magnéton,Type Électrik Type Acier,Magnépiège Fermeté Analyste,NFE,50,60,95,120,70,70
133,Canarticho,Type Normal Type Vol,Regard Vif Attention Acharné,Untiered,52,90,55,58,62,60
134,Canarticho de Galar,Type Combat,Impassible Querelleur,Untiered,52,95,55,58,62,55
135,Doduo,Type Normal Type Vol,Fuite Matinal Pieds Confus,Untiered,35,85,45,35,35,75
136,Dodrio,Type Normal Type Vol,Fuite Matinal Pieds Confus,Untiered,60,110,70,60,60,110
137,Otaria,Type Eau,Isograisse Hydratation Corps Gel,Untiered,65,45,55,45,70,45
138,Lamantine,Type Eau Type Glace,Isograisse Hydratation Corps Gel,Untiered,90,70,80,70,95,70
139,Tadmorv,Type Poison,Puanteur Glue Toxitouche,LC,80,80,50,40,50,25
140,Tadmorv d'Alola,Type Poison Type Ténèbres,Toxitouche Gloutonnerie Osmose,Untiered,80,80,50,40,50,25
141,Grotadmorv,Type Poison,Puanteur Glue Toxitouche,OU,105,105,75,65,100,50
142,Grotadmorv d'Alola,Type Poison Type Ténèbres,Toxitouche Gloutonnerie Osmose,Untiered,105,105,75,65,100,50
143,Kokiyas,Type Eau,Coque Armure Multi-Coups Envelocape,LC,30,65,100,45,25,40
144,Crustabri,Type Eau Type Glace,Coque Armure Multi-Coups Envelocape,OU,50,95,180,85,45,70
145,Fantominus,Type Spectre Type Poison,Lévitation,LC,30,35,30,100,35,80
146,Spectrum,Type Spectre Type Poison,Lévitation,NFE,45,50,45,115,55,95
147,Ectoplasma,Type Spectre Type Poison,Corps Maudit,OU,60,65,60,130,75,110
148,Méga Ectoplasma,Type Spectre Type Poison,Marque Ombre,Untiered,60,65,80,170,95,130
149,Ectoplasma Gigamax,Type Spectre Type Poison,Corps Maudit,Untiered,60,65,60,130,75,110
150,Onix,Type Roche Type Sol,Tête de Roc Fermeté Armurouillée,Untiered,35,45,160,30,45,70
151,Soporifik,Type Psy,Insomnia Prédiction Attention,LC,60,48,45,43,90,42
152,Hypnomade,Type Psy,Insomnia Prédiction Attention,OU,85,73,70,73,115,67
153,Krabby,Type Eau,Hyper Cutter Coque Armure Sans Limite,Untiered,30,105,90,25,25,50
154,Krabboss,Type Eau,Hyper Cutter Coque Armure Sans Limite,Untiered,55,130,115,50,50,75
155,Krabboss Gigamax,Type Eau,Hyper Cutter Coque Armure Sans Limite,Untiered,55,130,115,50,50,75
156,Voltorbe,Type Électrik,Anti-Bruit Statik Boom Final,LC,40,30,50,55,55,100
157,Voltorbe de Hisui,Type Électrik Type Plante,Anti-Bruit Statik Boom Final,Untiered,40,30,50,55,55,100
158,Électrode,Type Électrik,Anti-Bruit Statik Boom Final,OU,60,50,70,80,80,150
159,Électrode de Hisui,Type Électrik Type Plante,Anti-Bruit Statik Boom Final,Untiered,60,50,70,80,80,150
160,Noeunoeuf,Type Plante Type Psy,Chlorophylle Récolte,Untiered,60,40,80,60,45,40
161,Noadkoko,Type Plante Type Psy,Chlorophylle Récolte,Untiered,95,95,85,125,75,55
162,Noadkoko d'Alola,Type Plante Type Dragon,Fouille Récolte,Untiered,95,105,85,125,75,45
163,Osselait,Type Sol,Tête de Roc Paratonnerre Armurbaston,Untiered,50,50,95,40,50,35
164,Ossatueur,Type Sol,Tête de Roc Paratonnerre Armurbaston,Untiered,60,80,110,50,80,45
165,Ossatueur d'Alola,Type Feu Type Spectre,Corps Maudit Paratonnerre Tête de Roc,Untiered,60,80,110,50,80,45
166,Kicklee,Type Combat,Échauffement Téméraire Délestage,Untiered,50,120,53,35,110,87
167,Tygnon,Type Combat,Regard Vif Poing de Fer Attention,Untiered,50,105,79,35,110,76
168,Excelangue,Type Normal,Tempo Perso Benêt Ciel Gris,Untiered,90,55,75,60,75,30
169,Smogo,Type Poison,Lévitation Gaz Inhibiteur Puanteur,Untiered,40,65,95,60,45,35
170,Smogogo,Type Poison,Lévitation Gaz Inhibiteur Puanteur,Untiered,65,90,120,85,70,60
171,Smogogo de Galar,Type Poison Type Fée,Lévitation Gaz Inhibiteur Créa-Brume,Untiered,65,90,120,85,70,60
172,Rhinocorne,Type Sol Type Roche,Paratonnerre Tête de Roc Téméraire,Untiered,80,85,95,30,30,25
173,Rhinoféros,Type Sol Type Roche,Paratonnerre Tête de Roc Téméraire,Untiered,105,130,120,45,45,40
174,Leveinard,Type Normal,Médic Nature Sérénité Coeur Soin,NFE,250,5,5,35,105,50
175,Saquedeneu,Type Plante,Chlorophylle Feuille Garde Régé-Force,Untiered,65,55,115,100,40,60
176,Kangourex,Type Normal,Matinal Querelleur Attention,Untiered,105,95,80,40,80,90
177,Méga Kangourex,Type Normal,Amour Filial,Untiered,105,125,100,60,100,100
178,Hypotrempe,Type Eau,Glissade Sniper Moiteur,Untiered,30,40,70,70,25,60
179,Hypocéan,Type Eau,Point Poison Sniper Moiteur,Untiered,55,65,95,95,45,85
180,Poissirène,Type Eau,Glissade Ignifu-Voile Paratonnerre,Untiered,45,67,60,35,50,63
181,Poissoroy,Type Eau,Glissade Ignifu-Voile Paratonnerre,Untiered,80,92,65,65,80,68
182,Stari,Type Eau,Lumiattirance Médic Nature Analyste,Untiered,30,45,55,70,55,85
183,Staross,Type Eau Type Psy,Lumiattirance Médic Nature Analyste,Untiered,60,75,85,100,85,115
184,M. Mime,Type Psy Type Fée,Anti-Bruit Filtre Technicien,Untiered,40,45,65,100,120,90
185,M. Mime de Galar,Type Glace Type Psy,Esprit Vital Brise-Barrière Corps Gel,Untiered,50,65,65,90,90,100
186,Insécateur,Type Insecte Type Vol,Essaim Technicien Impassible,NFE,70,110,80,55,80,105
187,Lippoutou,Type Glace Type Psy,Benêt Prédiction Peau Sèche,Untiered,65,50,35,115,95,95
188,Élektek,Type Électrik,Statik Esprit Vital,Untiered,65,83,57,95,85,105
189,Magmar,Type Feu,Corps Ardent Esprit Vital,Untiered,65,95,57,100,85,93
190,Scarabrute,Type Insecte,Hyper Cutter Brise Moule Impudence,Untiered,65,125,100,55,70,85
191,Méga Scarabrute,Type Insecte Type Vol,Peau Céleste,Untiered,65,155,120,65,90,105
192,Tauros,Type Normal,Intimidation Colérique Sans Limite,Untiered,75,100,95,40,70,110
193,Tauros de Paldea,Type Combat,Intimidation Colérique Ruminant,OU,75,110,105,30,70,100
194,Tauros de Paldea de Feu,Type Combat Type Feu,Intimidation Colérique Ruminant,OU,75,110,105,30,70,100
195,Tauros de Paldea d'Eau,Type Combat Type Eau,Intimidation Colérique Ruminant,OU,75,110,105,30,70,100
196,Magicarpe,Type Eau,Glissade Phobique,LC,20,10,55,15,20,80
197,Léviator,Type Eau Type Vol,Intimidation Impudence,OU,95,125,79,60,100,81
198,Méga Léviator,Type Eau Type Ténèbres,Brise Moule,Untiered,95,155,109,70,130,81
199,Lokhlass,Type Eau Type Glace,Absorb Eau Coque Armure Hydratation,Untiered,130,85,80,85,95,60
200,Lokhlass Gigamax,Type Eau Type Glace,Absorb Eau Coque Armure Hydratation,Untiered,130,85,80,85,95,60
201,Métamorph,Type Normal,Échauffement Imposteur,OU,48,48,48,48,48,48
202,Évoli,Type Normal,Fuite Adaptabilité Anticipation,LC,55,55,50,45,65,55
203,Évoli Gigamax,Type Normal,Fuite Adaptabilité Anticipation,Untiered,55,55,50,45,65,55
204,Aquali,Type Eau,Absorb Eau Hydratation,OU,130,65,60,110,95,65
205,Voltali,Type Électrik,Absorb Volt Pied Véloce,OU,65,65,60,110,95,130
206,Pyroli,Type Feu,Torche Cran,OU,65,130,60,95,110,65
207,Porygon,Type Normal,Calque Télécharge Analyste,Untiered,65,60,70,85,75,40
208,Amonita,Type Roche Type Eau,Glissade Coque Armure Armurouillée,Untiered,35,40,100,90,55,35
209,Amonistar,Type Roche Type Eau,Glissade Coque Armure Armurouillée,Untiered,70,60,125,115,70,55
210,Kabuto,Type Roche Type Eau,Glissade Armurbaston Armurouillée,Untiered,30,80,90,55,45,55
211,Kabutops,Type Roche Type Eau,Glissade Armurbaston Armurouillée,Untiered,60,115,105,65,70,80
212,Ptéra,Type Roche Type Vol,Tête de Roc Pression Tension,Untiered,80,105,65,60,75,130
213,Méga Ptéra,Type Roche Type Vol,Griffe Dure,Untiered,80,135,85,70,95,150
214,Ronflex,Type Normal,Vaccin Isograisse Gloutonnerie,Untiered,160,110,65,65,110,30
215,Ronflex Gigamax,Type Normal,Vaccin Isograisse Gloutonnerie,Untiered,160,110,65,65,110,30
216,Artikodin,Type Glace Type Vol,Pression Rideau Neige,Untiered,90,85,100,95,125,85
217,Artikodin de Galar,Type Psy Type Vol,Battant,Untiered,90,85,85,125,100,95
218,Électhor,Type Électrik Type Vol,Pression Statik,Untiered,90,90,85,125,90,100
219,Électhor de Galar,Type Combat Type Vol,Acharné,Untiered,90,125,90,85,90,100
220,Sulfura,Type Feu Type Vol,Pression Corps Ardent,Untiered,90,100,90,125,85,90
221,Sulfura de Galar,Type Ténèbres Type Vol,Dracolère,Untiered,90,85,90,100,125,90
222,Minidraco,Type Dragon,Mue Écaille Spéciale,LC,41,64,45,50,50,50
223,Draco,Type Dragon,Mue Écaille Spéciale,NFE,61,84,65,70,70,70
224,Dracolosse,Type Dragon Type Vol,Attention Multiécaille,OU,91,134,95,100,100,80
225,Mewtwo,Type Psy,Pression Tension,Untiered,106,110,90,154,90,130
226,Méga Mewtwo Y,Type Psy,Insomnia,Untiered,106,150,70,194,120,140
227,Méga Mewtwo X,Type Psy Type Combat,Impassible,Untiered,106,190,100,154,100,130
228,Mew,Type Psy,Synchro,Untiered,100,100,100,100,100,100
229,Germignon,Type Plante,Engrais Feuille Garde,Untiered,45,49,65,49,65,45
230,Macronium,Type Plante,Engrais Feuille Garde,Untiered,60,62,80,63,80,60
231,Méganium,Type Plante,Engrais Feuille Garde,Untiered,80,82,100,83,100,80
232,Héricendre,Type Feu,Brasier Torche,Untiered,39,52,43,60,50,65
233,Feurisson,Type Feu,Brasier Torche,Untiered,58,64,58,80,65,80
234,Typhlosion,Type Feu,Brasier Torche,Untiered,78,84,78,109,85,100
235,Typhlosion de Hisui,Type Feu Type Spectre,Brasier Fouille,Untiered,73,84,78,119,85,95
236,Kaiminus,Type Eau,Torrent Sans Limite,Untiered,50,65,64,44,48,43
237,Crocrodil,Type Eau,Torrent Sans Limite,Untiered,65,80,80,59,63,58
238,Aligatueur,Type Eau,Torrent Sans Limite,Untiered,85,105,100,79,83,78
239,Fouinette,Type Normal,Fuite Regard Vif Fouille,Untiered,35,46,34,35,45,20
240,Fouinar,Type Normal,Fuite Regard Vif Fouille,Untiered,85,76,64,45,55,90
241,Hoothoot,Type Normal Type Vol,Insomnia Regard Vif Lentiteintée,Untiered,60,30,30,36,56,50
242,Noarfang,Type Normal Type Vol,Insomnia Regard Vif Lentiteintée,Untiered,100,50,50,86,96,70
243,Coxy,Type Insecte Type Vol,Essaim Matinal Phobique,Untiered,40,20,30,40,80,55
244,Coxyclaque,Type Insecte Type Vol,Essaim Matinal Poing de Fer,Untiered,55,35,50,55,110,85
245,Mimigal,Type Insecte Type Poison,Essaim Insomnia Sniper,Untiered,40,60,40,40,40,30
246,Migalos,Type Insecte Type Poison,Essaim Insomnia Sniper,Untiered,70,90,70,60,70,40
247,Nostenfer,Type Poison Type Vol,Attention Infiltration,Untiered,85,90,80,70,80,130
248,Loupio,Type Eau Type Électrik,Absorb Volt Lumiattirance Absorb Eau,Untiered,75,38,38,56,56,67
249,Lanturn,Type Eau Type Électrik,Absorb Volt Lumiattirance Absorb Eau,Untiered,125,58,58,76,76,67
250,Pichu,Type Électrik,Statik Paratonnerre,LC,20,40,15,35,35,60
251,Pichu Troizépi,Type Électrik,Statik,Untiered,20,40,15,35,35,60
252,Mélo,Type Fée,Joli Sourire Garde Magik Garde Amie,Untiered,50,25,28,45,55,15
253,Toudoudou,Type Normal Type Fée,Joli Sourire Battant Garde Amie,LC,90,30,15,40,20,15
254,Togepi,Type Fée,Agitation Sérénité Chanceux,Untiered,35,20,65,40,65,20
255,Togetic,Type Fée Type Vol,Agitation Sérénité Chanceux,Untiered,55,40,85,80,105,40
256,Natu,Type Psy Type Vol,Synchro Matinal Miroir Magik,Untiered,40,50,45,70,45,70
257,Xatu,Type Psy Type Vol,Synchro Matinal Miroir Magik,Untiered,65,75,70,95,70,95
258,Wattouat,Type Électrik,Statik Plus,LC,55,40,40,65,45,35
259,Lainergie,Type Électrik,Statik Plus,NFE,70,55,55,80,60,45
260,Pharamp,Type Électrik,Statik Plus,OU,90,75,85,115,90,55
261,Méga Pharamp,Type Électrik Type Dragon,Brise Moule,Untiered,90,95,105,165,110,45
262,Joliflor,Type Plante,Chlorophylle Coeur Soin,Untiered,75,80,95,90,100,50
263,Marill,Type Eau Type Fée,Isograisse Coloforce Herbivore,NFE,70,20,50,20,50,40
264,Azumarill,Type Eau Type Fée,Isograisse Coloforce Herbivore,OU,100,50,80,60,80,50
265,Simularbre,Type Roche,Fermeté Tête de Roc Phobique,OU,70,100,115,30,65,30
266,Tarpaud,Type Eau,Absorb Eau Moiteur Crachin,Untiered,90,75,75,90,100,70
267,Granivol,Type Plante Type Vol,Chlorophylle Feuille Garde Infiltration,LC,35,35,40,35,55,50
268,Floravol,Type Plante Type Vol,Chlorophylle Feuille Garde Infiltration,NFE,55,45,50,45,65,80
269,Cotovol,Type Plante Type Vol,Chlorophylle Feuille Garde Infiltration,OU,75,55,70,55,95,110
270,Capumain,Type Normal,Fuite Ramassage Multi-Coups,Untiered,55,70,55,40,55,85
271,Tournegrin,Type Plante,Chlorophylle Force Soleil Matinal,LC,30,30,30,30,30,30
272,Héliatronc,Type Plante,Chlorophylle Force Soleil Matinal,OU,75,75,55,105,85,30
273,Yanma,Type Insecte Type Vol,Turbo Oeil Composé Fouille,Untiered,65,65,45,75,45,95
274,Axoloto,Type Eau Type Sol,Moiteur Absorb Eau Inconscient,LC,55,45,45,25,25,15
275,Axoloto de Paldea,Type Poison Type Sol,Point Poison Absorb Eau Inconscient,LC,55,45,45,25,25,15
276,Maraiste,Type Eau Type Sol,Moiteur Absorb Eau Inconscient,OU,95,85,85,65,65,35
277,Mentali,Type Psy,Synchro Miroir Magik,OU,65,65,60,130,95,110
278,Noctali,Type Ténèbres,Synchro Attention,OU,95,65,110,60,130,65
279,Cornèbre,Type Ténèbres Type Vol,Insomnia Chanceux Farceur,NFE,60,85,42,85,42,91
280,Roigada,Type Eau Type Psy,Benêt Tempo Perso Régé-Force,OU,95,75,80,100,110,30
281,Roigada de Galar,Type Poison Type Psy,Breuvage Suspect Tempo Perso Régé-Force,Untiered,95,65,80,110,110,30
282,Feuforêve,Type Spectre,Lévitation,LC,60,60,60,85,85,85
283,Zarbi A,Type Psy,Lévitation,Untiered,48,72,48,72,48,48
